datetime,0310162,0310174,0310177,0310179,E206271,E207417,E207418,E209177,E209178,E220891,E223756,E231866,E232245,E232246,E238212,E242892,E275843,E283549,E289309,E316370
2021-01-04 13:00:00,0.1992694,0.1973611,0.2182194,0.22275,0.1984028,0.2035,0.2657945,0.2211628,0.1856583,0.1386111,0.1361738,0.166713,0.1619034,0.1653439,,0.2043889,,0.1126111,0.127117,0.3959778
2021-01-04 14:00:00,0.2633417,0.2325556,0.2607722,0.2620833,0.1516028,0.16685,0.2271861,0.2018696,0.1586667,0.1424597,0.1233471,0.167711,0.195898,0.1572983,,0.2024167,,0.1385278,0.130506,0.3883833
2021-01-04 15:00:00,0.2633184,0.2149305,0.2161986,0.2088542,0.1410174,0.1649549,0.2012444,0.1605413,0.1541819,0.107441,0.1208763,0.155925,0.2044538,0.1589492,,0.2437569,,0.1242708,0.111451,0.3948333
2021-01-04 16:00:00,0.2792111,0.2775278,0.2226417,0.2349722,0.1602,0.2152382,0.1914389,0.2161081,0.1549833,0.1384986,0.1322592,0.185754,0.1782215,0.2242694,,0.3143055,,0.1147778,0.108361,0.5397
2021-01-04 17:00:00,0.3526778,0.2606111,0.2578639,0.2525555,0.1886444,0.2216889,0.2388222,0.2451918,0.1484944,0.146049,0.1396068,0.233958,0.181161,0.3054194,,0.2859444,,0.1128611,0.113931,0.5386722
2021-01-04 18:00:00,0.3272667,0.3440278,0.2832694,0.3084722,0.1645806,0.1633333,0.2066222,0.2638325,0.1598556,0.235565,0.1398857,0.178565,0.1734722,0.2622469,,0.2735833,,0.1171389,0.116183,0.707325
2021-01-04 19:00:00,0.3476218,0.2953125,0.2602292,0.275,0.2046944,0.1716632,0.2048264,0.259761,0.1459174,0.228493,0.1253583,0.133276,0.1636076,0.38148,,0.2682993,,0.1216597,0.116521,0.6366204
2021-01-04 20:00:00,0.3326833,0.305,0.2729278,0.3660555,0.1464833,0.2266611,0.2355528,0.2420182,0.1543083,0.1514917,0.1216667,,0.1925212,0.3902186,,0.3287778,,0.13525,0.135558,0.755075
2021-01-04 21:00:00,0.3692583,0.2671389,0.3162028,0.2367167,0.1761972,0.3188167,0.2901956,0.3480915,0.1581556,0.1197472,0.1199926,0.14531,0.2661259,0.3523419,,0.2981389,,0.1451944,0.134686,0.6383278
2021-01-04 22:00:00,0.3435083,0.2699445,0.2529583,0.2278056,0.1471028,0.387625,0.2864819,0.1844994,0.1628306,0.1536153,0.1180954,0.162015,0.2104945,0.3650475,,0.2767778,,0.1993889,0.131506,0.644375
2021-01-04 23:00:00,0.3295868,0.2476736,0.1954285,0.1691389,0.1327917,0.3810417,0.320183,0.1617467,0.1578389,0.1541494,0.1207011,0.170151,0.1720447,0.3291317,,0.2212245,,0.1509722,0.126201,0.7158116
2021-01-05 00:00:00,0.2689917,0.182,0.2148333,0.1816389,0.1413111,0.2527417,0.3044555,0.2646034,0.1440194,0.1766875,0.1378949,0.173657,0.1469165,0.5468564,,0.2330556,,0.1521111,0.122717,0.6433889
2021-01-05 01:00:00,0.218163,0.2148188,0.2022319,0.1603623,0.159,0.1764693,0.3398841,0.1474274,0.1419312,0.1770109,0.1334919,0.217184,0.143317,0.3252964,,0.204529,,0.1227536,0.117493,0.5467536
2021-01-05 02:00:00,0.2040761,0.1806884,0.2357775,0.162029,0.1578312,0.2116145,0.2643696,0.1864341,0.1444058,0.1365127,0.124212,0.253838,0.1392077,0.5590475,,0.195471,,0.1261957,0.125162,0.5045819
2021-01-05 03:00:00,0.1868299,0.2297917,0.2285854,0.1588194,0.1218076,0.2183542,0.2233924,0.1745451,0.1477312,0.1405666,0.1305752,0.212945,0.1287424,0.3096616,,0.1913889,,0.1326389,0.106882,0.4926701
2021-01-05 04:00:00,0.1983007,0.2203261,0.1817319,0.1745513,0.1179022,0.1832029,0.1763261,0.1821699,0.1794022,0.1526159,0.1361458,0.409523,0.1391068,0.2173692,,0.1973551,,0.1274638,0.104138,0.4223116
2021-01-05 05:00:00,0.1781304,0.1745217,0.1663696,0.2006731,0.1422681,0.1426812,0.1405362,0.171638,0.1639964,0.1755932,0.1284891,0.248822,0.1684408,0.1728562,,0.1582971,,0.1338768,0.116047,0.2967536
2021-01-05 06:00:00,0.1834055,0.1485556,0.1764722,0.1734889,0.1482778,0.1627778,0.1442417,0.1677209,0.1595194,0.2389264,0.1418858,0.135837,0.1898305,0.1694647,,0.1862222,,0.1308889,0.1391,0.3067472
2021-01-05 07:00:00,0.2011522,0.1756597,0.1901479,0.1602083,0.1975681,0.1812014,0.1532951,0.1618972,0.1809575,0.2950507,0.1355423,0.151416,0.1698575,0.1804262,,0.2033681,,0.1217431,0.142391,0.3633673
2021-01-05 08:00:00,0.2098055,0.2103056,0.1836222,0.2043333,0.1847528,0.1849694,0.1579083,0.1654073,0.1874333,0.2885236,0.129583,0.201447,0.1853276,0.1956811,,0.2052778,,0.1122778,0.182353,0.425925
2021-01-05 09:00:00,0.3084661,0.2273889,0.1718833,0.1963611,0.2127111,0.1716028,0.14245,0.1741116,0.2189444,0.5191708,0.1438973,0.296505,0.2221628,0.1994442,,0.2066364,,0.1160278,0.163983,0.397175
2021-01-05 10:00:00,0.2833639,0.2092222,0.1616972,0.2065556,0.1720278,0.14355,0.1557555,0.2085719,0.206609,0.3420931,0.1652309,0.220222,0.183178,0.2156372,,0.1927037,,0.1151667,0.202192,0.3432222
2021-01-05 11:00:00,0.2562743,0.2048958,0.1635,0.2242708,0.1590076,0.1299063,0.1655451,0.1936437,0.2031667,0.2724721,0.1538895,0.185503,0.1678298,0.2076756,,0.1651389,,0.1173958,0.18813,0.302747
2021-01-05 12:00:00,0.2155194,0.2389167,0.1628167,0.2003333,0.18545,0.1229667,0.1564444,0.1628284,0.1933833,0.1912972,0.1484141,0.153767,0.1522145,0.2277319,,0.1728056,,0.1188333,0.140322,0.3637444
2021-01-05 13:00:00,0.1919306,0.2258056,0.1600611,0.1983056,0.1599972,0.1273139,0.15835,0.1607481,0.1781333,0.1793639,0.1582972,,0.1605751,0.2054147,,0.1680555,,0.1173611,0.120894,0.3110056
2021-01-05 14:00:00,0.1760139,0.1978889,,0.2074722,0.1527,0.1465222,0.1485028,0.1586441,0.1751167,0.1823722,0.1637312,0.133861,,0.1941506,,0.1636111,,0.1262222,0.118872,0.310325
2021-01-05 15:00:00,0.1698403,0.1985486,0.1602553,0.1700347,0.152391,0.1323507,0.1464236,0.1579187,0.205156,0.1901745,0.1699908,0.133926,0.1799083,0.179485,,0.1665278,,0.1275,0.121084,0.2819109
2021-01-05 16:00:00,0.1926944,0.2226944,0.1848,0.1638056,0.1295833,0.1251917,0.1425,0.1684225,0.1723417,0.1584111,0.1627183,0.132682,0.1834536,0.1643892,,0.1831111,,0.1172778,0.135319,0.3359583
2021-01-05 17:00:00,0.1776944,0.2391389,0.1752889,0.1824722,0.1207611,0.1290667,0.1440778,0.1702352,0.1707,0.1806389,0.1522544,0.131567,0.1558886,0.17795,,0.1644167,,0.117,0.148314,0.3156472
2021-01-05 18:00:00,0.1752111,0.2218056,0.17895,0.1658055,0.1145722,0.1394861,0.13695,0.1688792,0.1658222,0.1625444,0.1459237,0.136572,0.1836944,0.1711244,,0.1649167,,0.1138056,0.147342,0.2918528
2021-01-05 19:00:00,0.1772222,0.1809861,0.1624468,0.15875,0.1180194,0.1295467,0.1383438,0.1633478,0.1633582,0.1726455,0.1373393,0.132095,0.164294,0.1630995,,0.1606945,,0.1205208,0.130397,0.2611823
