datetime,0310162,0310174,0310177,0310179,0450307,0550502,0605008,E206270,E206271,E207417,E207418,E207723,E209177,E209178,E220891,E223756,E227431,E229797,E231866,E232244,E232245,E232246,E238212,E240337,E242892,E249492,E283549,E285829,E286369,E289309,E293810,E299830,E300350,E302130,E304570,E308566,E316370
2022-01-02 09:00:00,10.24398,13.33964,31.82408,18.59698,24.88639,23.8442,32.93443,34.47976,26.65051,33.53949,27.62011,29.05433,31.31369,26.63022,22.1918,19.3661,23.81239,26.81052,26.30208,32.13063,18.85715,27.23352,17.70161,15.84236,27.53695,18.49139,37.06649,29.45111,17.20544,21.07822,31.81556,29.27444,23.41893,28.10537,12.12889,16.03,9.791083
2022-01-02 10:00:00,7.687152,14.89889,32.49114,23.21411,19.76444,25.71417,32.25136,37.33257,25.25782,36.57001,26.1941,29.20094,31.91414,27.48667,21.31917,19.42803,19.38844,28.61955,30.02555,30.91553,16.03376,31.14334,20.35067,17.80042,27.02402,24.91528,36.57439,27.87667,19.52,25.43848,26.11972,29.22917,25.50621,26.37257,10.59333,13.15,13.69886
2022-01-02 11:00:00,7.059103,11.19139,30.23253,23.53964,22.66222,29.81711,32.70153,37.16239,22.1512,37.13969,25.15996,29.51425,32.53807,28.47901,20.15803,18.30081,20.035,31.29876,30.29514,31.08456,15.866,31.80297,19.8529,19.83389,24.70309,23.20778,36.95898,29.50805,,26.01676,25.57556,29.33667,25.30868,26.25931,6.042222,7.58,10.88257
2022-01-02 12:00:00,5.019048,11.50306,32.20621,22.08547,24.50917,34.15339,32.27783,36.94034,20.9121,36.42251,26.15161,30.1945,32.1169,29.83804,19.64677,14.65579,18.07443,31.81811,33.03833,31.34394,15.92831,29.79417,19.1676,20.36042,28.57263,23.00278,36.82407,33.12166,23.78278,21.04164,22.71083,29.08694,,23.86095,3.692776,10.25,14.36227
2022-01-02 13:00:00,12.05888,15.88528,28.85682,24.30839,22.05139,34.2848,33.19628,36.5115,20.31333,35.16128,26.74899,34.34086,30.78854,30.30879,18.54576,13.83956,17.51909,32.18745,28.14042,32.25463,13.36761,36.87383,21.48481,20.07708,24.72211,23.77417,37.05126,34.00472,27.40083,23.33472,18.75111,29.26444,25.61412,26.26873,6.15861,13.13,8.594489
2022-01-02 14:00:00,6.038606,17.84306,26.87706,25.33194,21.63417,33.90428,33.09056,33.18185,19.83466,33.99786,28.01193,36.34603,29.08152,31.88703,16.86335,15.99988,15.82165,32.16909,32.4043,32.20863,7.592122,35.69582,19.8817,20.4914,19.78295,24.76333,37.41356,33.9575,28.57083,32.48214,15.84889,29.5575,26.39237,25.90031,6.598609,11.41,29.85511
2022-01-02 15:00:00,13.34715,22.93528,31.27867,27.85162,27.91377,33.55773,,33.53275,27.01213,34.69818,28.1112,35.70417,29.52191,38.65507,16.45124,14.15486,14.0897,,32.20375,31.70771,27.80598,36.11511,18.99063,19.31958,25.94049,23.71222,35.84789,33.30861,30.11611,36.92092,13.4975,29.07194,25.29378,26.49331,5.291944,15.27,30.99964
2022-01-02 16:00:00,17.0848,22.06972,32.99783,29.35172,28.53639,34.07872,29.55447,32.54453,36.04642,33.89456,26.70748,35.49025,30.5744,38.21447,15.03748,13.78458,10.84704,33.03909,31.64764,32.23252,35.25745,35.39968,20.61699,26.4943,31.32645,24.0075,35.04306,,27.17278,35.12842,13.96361,29.52361,26.88023,21.77381,3.701387,17.95,26.65107
2022-01-02 17:00:00,22.38712,22.99028,32.8937,26.47301,27.16722,34.32744,29.28653,33.67336,36.00418,33.26516,28.69443,34.59978,28.99259,38.05238,14.6779,13.98808,11.00317,31.16686,30.84042,32.72958,34.87764,34.36425,18.97395,30.00778,33.02295,19.69,35.27303,,24.12389,34.12461,11.15333,29.72417,29.03814,24.56037,7.128611,27.01,28.09783
2022-01-02 18:00:00,23.86568,25.76556,32.71329,28.45536,26.74806,34.92552,30.37139,34.11566,35.78982,33.46323,28.34161,33.67461,28.62208,36.8669,11.75277,11.58378,11.99361,31.60162,,35.1712,35.26027,33.78795,,25.17319,29.06571,18.95417,35.33822,,16.95667,35.07885,15.23417,29.75389,29.15056,23.59388,17.90389,30.08,26.61311
2022-01-02 19:00:00,27.1544,23.02722,31.39954,30.06497,27.60889,34.30162,31.45122,32.1601,34.2986,32.51327,26.83683,31.70519,28.74995,36.56473,13.13766,11.31993,10.04992,32.4371,30.26181,33.4389,34.58733,33.11794,,26.69542,29.40627,19.74472,33.88833,,22.05361,34.36784,13.50667,29.01861,29.72486,20.80511,5.8975,27.87,28.67489
2022-01-02 20:00:00,24.73608,18.14222,31.71671,27.08103,28.44167,33.13961,27.32333,31.58557,35.37622,34.17081,27.88609,32.12645,28.46569,36.48472,12.73683,10.10891,12.44644,32.21495,30.06597,33.04818,34.18839,34.52862,,23.4957,31.73369,20.71095,34.8354,,20.72694,37.78266,14.29028,29.67416,30.70763,19.07394,5.5,28.13,30.19647
2022-01-02 21:00:00,28.37224,26.67528,31.46245,26.90119,29.06806,,28.82014,32.85524,35.39183,34.04768,28.60796,33.23683,28.24576,36.05869,14.85101,13.88604,17.26141,28.59609,29.56264,34.13956,34.81226,34.53233,,18.75528,32.01907,24.35889,35.02262,,17.13972,35.88572,24.92333,29.84778,33.74717,23.89263,2.888611,31.39,31.69499
2022-01-02 22:00:00,31.42549,25.13,32.96574,26.78333,29.8425,34.72145,31.30947,32.98043,34.68414,33.64748,28.78684,33.18897,29.00799,36.51837,15.08212,27.30644,19.28428,28.58909,30.33389,33.98222,34.29696,34.24861,,16.25361,31.42565,,34.47203,,20.22333,34.95925,27.47583,29.73861,35.15057,23.67351,1.736111,28.05,32.32167
2022-01-02 23:00:00,31.10315,24.6425,33.08276,28.38778,,35.04769,32.43845,34.274,35.19293,32.8753,28.57127,35.07775,29.42255,36.64603,16.35439,29.11856,19.014,27.3535,31.12472,33.62091,33.9567,33.3742,,16.8518,26.54741,22.07333,34.78311,,18.61417,35.05338,35.06389,29.44389,33.91949,24.75441,3.489722,28.75,30.12182
2022-01-03 00:00:00,32.63704,31.48639,34.23366,29.76681,29.54667,34.98126,32.82597,35.701,36.81247,34.21186,28.92789,35.79514,30.74315,38.20346,20.88723,34.64103,21.45913,26.91543,29.46083,30.85444,36.27058,34.28983,,23.01264,26.9742,21.31278,35.00173,,24.26233,26.94324,29.11278,29.69972,34.04124,18.84267,2.778623,34.55,30.52742
2022-01-03 01:00:00,33.19249,24.7942,34.73506,29.22826,29.33306,35.47928,31.56569,34.98653,36.77496,33.74006,28.69344,35.19617,30.66674,37.59644,15.3043,34.84262,21.39016,28.54405,27.55361,37.17575,37.71897,34.6405,,21.46333,27.92643,16.52056,34.57931,,20.49528,29.21721,36.00778,29.85889,34.51126,9.076715,10.62376,,29.22897
2022-01-03 02:00:00,31.42081,31.19232,34.06464,28.82197,28.88528,35.47646,26.7503,34.36381,35.97495,33.4036,29.17663,34.73779,30.18571,36.38741,8.160113,36.72797,21.69162,30.40556,31.78458,35.44523,35.50206,33.57137,,26.445,34.11415,15.82528,34.86568,,18.36544,33.62434,33.21087,29.82083,34.89605,12.27126,10.71639,33.07,30.20127
2022-01-03 03:00:00,30.1939,28.04528,32.84212,29.04806,28.98333,36.63633,27.67822,31.97431,35.54558,33.57653,29.0525,33.33688,29.86507,36.11365,8.672879,35.74208,21.41742,32.98829,30.89264,34.96773,35.22356,35.11583,,27.49347,32.82836,14.49222,35.24008,,19.37706,32.12038,25.55159,29.92667,35.06893,24.28149,14.70139,,31.17857
2022-01-03 04:00:00,29.01453,27.24275,31.25209,26.7668,28.08278,37.01769,30.77147,33.35007,35.53884,33.88358,28.74448,35.05544,29.28215,35.53961,14.0905,32.78772,18.71502,30.82016,31.07583,33.53263,34.50989,34.81413,,25.60875,29.9147,13.61694,35.18121,,17.34,28.91779,23.69167,,34.95113,23.81709,24.50194,,29.78085
2022-01-03 05:00:00,30.77839,30.08696,33.31699,29.86261,27.31556,37.16213,30.07664,34.19195,35.24757,31.24827,28.0948,34.045,29.16301,35.80637,8.916664,29.88586,17.5392,30.38662,24.19375,34.04972,34.29932,33.2917,,18.19764,31.3812,7.759444,34.31204,,13.26194,31.86578,22.37935,28.92556,34.66751,17.68056,27.13833,31.9,23.08899
2022-01-03 06:00:00,31.39738,27.93944,32.42334,26.80658,26.12528,37.15782,27.77925,33.29486,36.75713,32.37672,27.31735,33.20264,26.96849,36.78317,9.115921,32.43772,14.50913,25.18086,15.17931,34.21202,32.15999,33.30781,,17.89236,32.4113,2.262777,35.33505,,10.385,35.10247,20.26194,28.69222,34.42458,24.1123,27.32528,30.42,26.70504
