datetime,0310162,0310177,0310179,0450307,0550502,0605008,E206271,E207417,E207418,E207723,E209177,E209178,E216670,E220217,E220891,E222520,E222778,E223615,E223616,E223756,E225267,E227431,E229797,E231866,E232244,E232246,E234670,E238212,E240337,E249492,E263701,E269223,E271963,E273483,E275843,E282711,E283549,E285829,E286369,E289309,E292149,E293810,E304570,M107004
2022-01-02 12:00:00,1.886833,0.3520328,3.614289,7.35793,0.967347,2.241333,2.200806,3.589083,0.9928611,1.386355,0.1238611,1.184,0.0,5.0,2.840889,3.070817,1.950518,4.0,0.0,3.544806,5.703026,5.0,4.0,7.0,0.0,4.58975,8.0,4.828972,7.0,2.760513,27.56168,6.0,2.540841,3.004167,7.029222,,4.24875,2.0,9.225873,4.866694,13.97594,1.957831,9.893722,16.482
2022-01-02 13:00:00,1.268806,1.093056,3.731617,9.60854,1.32761,2.389415,3.004667,7.260889,1.29025,1.526289,0.3861389,0.5815833,2.0,1.0,3.868444,4.536018,1.57885,4.0,0.0,3.725445,3.660554,4.0,5.0,6.0,0.0,7.053417,9.0,4.971833,5.0,3.219875,30.23438,5.0,3.2543,1.002778,5.568222,,4.00875,7.0,7.358582,3.977028,7.992259,3.050839,7.390513,1.344694
2022-01-02 14:00:00,2.744139,1.119333,3.439511,6.143054,1.385596,2.465054,4.033028,8.485403,1.660972,1.360208,1.475778,0.6208889,0.0,4.0,5.640083,7.954823,1.951289,3.0,0.0,2.177944,2.434611,4.0,8.0,5.0,0.0,7.289639,5.0,4.359611,4.0,4.071763,27.10097,4.0,2.297226,1.0,4.937972,,3.169389,5.0,5.090013,2.516278,6.979677,4.135986,10.31882,1.68375
2022-01-02 15:00:00,1.954,1.362111,3.408433,4.686003,1.519055,2.538415,3.026083,7.113,1.583861,1.4264,0.8505555,0.0048611,0.0,5.0,4.122334,5.26862,2.577137,3.0,0.0,3.190417,3.055526,2.0,5.0,4.0,0.0187222,5.303139,0.0,5.0365,6.0,3.101875,20.74822,5.0,3.924813,6.991665,4.355306,,4.086083,4.0,4.058361,0.719,12.18953,5.300708,13.85947,2.001554
2022-01-02 16:00:00,2.047316,1.139333,3.299564,4.025938,1.631943,2.595221,1.264386,7.327167,1.442417,1.205456,0.6220555,0.0,0.0,3.0,3.566609,4.78022,3.39816,5.0,0.0,4.165056,3.279561,2.0,0.0,1.0,0.255565,4.915536,,3.922083,6.0,3.915666,31.0715,5.0,4.479931,9.995833,3.7245,1.0,4.050833,,6.61625,1.283,12.09918,4.369497,12.6388,0.471722
2022-01-02 17:00:00,1.431891,0.5953595,3.730604,4.573869,1.98318,2.608041,0.9985185,8.195294,1.496026,1.137394,0.6920915,0.0,1.0,4.0,4.933868,4.291819,2.589663,3.0,3.0,3.779183,3.3139,8.0,2.0,2.0,0.4565865,6.319412,,3.854118,3.0,4.607697,33.4711,5.0,3.855674,6.005556,4.037385,1.0,3.751078,1.0,8.820778,1.243791,12.08147,3.951531,9.126078,0.308472
2022-01-02 18:00:00,1.483389,0.8475556,4.289558,5.31661,1.831083,3.167193,1.432806,8.263528,1.878444,1.091306,1.311611,0.0,3.0,4.0,6.117944,4.78022,3.143539,5.0,0.0,3.493806,4.169528,9.0,4.0,6.0,0.4800417,5.876722,,11.04869,0.0,5.902666,37.07602,8.0,2.641741,6.0,4.774833,3.0,3.067472,4.0,12.37611,0.95125,19.20799,3.575114,3.204175,1.132138
2022-01-02 19:00:00,1.669611,1.211194,3.919445,5.214166,1.718096,3.315054,1.912,6.445305,1.896556,1.182241,1.531861,0.0,4.0,4.0,3.504389,5.26862,3.577006,4.0,,4.272472,5.183722,18.0,6.0,6.0,0.5866111,5.072111,,4.459445,1.0,7.213694,33.60989,8.0,2.551637,12.99028,2.758028,1.0,2.877028,4.0,12.79879,1.345083,22.47745,4.333897,9.314146,0.3115
2022-01-02 20:00:00,1.888583,1.082944,4.047089,4.922846,2.01343,2.928721,1.475139,6.394,1.755389,1.330394,1.246917,0.0,1.0,6.0,6.522333,5.26862,3.127856,4.0,0.0,5.117917,4.04125,15.0,4.0,5.0,0.5135695,5.809195,,2.501684,6.0,7.102371,35.83529,6.0,2.490075,14.99722,3.155861,1.0,3.050778,1.0,11.63876,0.726111,24.713,4.020275,10.27472,0.640361
2022-01-02 21:00:00,1.175167,0.9211852,4.114014,4.553152,1.88379,3.162569,1.240306,7.578722,1.665194,1.095738,1.107333,0.0097222,2.0,4.0,3.861889,3.803419,3.494518,3.0,0.0,3.882722,5.839832,8.0,3.0,4.0,0.4528889,6.807416,,4.108389,7.0,7.513443,31.56896,6.0,3.209295,11.00556,2.975445,5.0,3.870306,0.0,11.76918,1.069722,22.84098,1.002522,15.45795,0.952221
